url,titulo,precio,direccion,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-de-santa-isabel/casa-en-venta-en-fraccionamiento-jardines-de-santa-isabel/145410378,Casa en Venta en Fraccionamiento Jardines de Santa Isabel,"ventaMN 24,400,000","San Pascual 4766. Santa Isabel. Zapopan Jal.,  Fraccionamiento Jardines de Santa Isabel, Guadalajara",790²,260²,4,1,4,4,23
https://www.vivanuncios.com.mx/a-venta-casa/prados-de-providencia/casa-en-prados-providencia/144569663,Casa en Prados Providencia,"ventaMN 10,200,000","Prados de Providencia,  Prados de Providencia, Guadalajara",310²,310²,3,1,3,3,25
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-de-los-historiadores/casa-en-fraccionamiento-jardines-de-los-historiadores/146229387,Casa en Fraccionamiento Jardines de Los Historiadores,"ventaMN 7,349,000","Casa EN Venta EN Jardines DE LA PAZ,  Fraccionamiento Jardines de los Historiadores, Guadalajara",127²,423²,4,3,5,4,4
https://www.vivanuncios.com.mx/a-venta-casa/ladron-de-guevara/casa-en-venta-ladron-de-guevara-guadalajara-jalisco/143617976,"Casa en Venta Ladron de Guevara Guadalajara, Jalisco.","ventaMN 14,800,000","Hidalgo 2042,  Ladrón de Guevara, Guadalajara",397²,464²,3,2,4,4,46
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-venta-en-providencia-jose-maria-vigil-2807/146479929,Casa en Venta en Providencia - Jóse María Vigil 2807,"ventaMN 11,300,000","Jóse María Vigil 2807,  Providencia, Guadalajara",329²,250²,3,2,3,4,44
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-renta-y-venta-en-providencia-guadalajara-jalisco/146782470,Casa en Renta y Venta en Providencia Guadalajara Jalisco,"ventaMN 43,900,000","Hipodromo #2100, Colomos Providencia, Guadalajara,  Providencia, Guadalajara",1064²,670²,6,1,10,4,10
https://www.vivanuncios.com.mx/a-venta-casa/jardines-del-bosque/casa-en-venta-en-jardines-del-bosque-guadalajara/146359628,"Casa en Venta en Jardines del Bosque, Guadalajara","ventaMN 16,900,000","C. Firmamento,  Jardines del Bosque, Guadalajara",700²,2000²,5,,4,4,40
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-venta-una-planta-providencia-guadalajara-550-m-sup2/145830576,Casa en Venta Una Planta Providencia Guadalajara 550 m²,"ventaMN 17,900,000","Jose Maria Heredia,  Providencia, Guadalajara",550²,580²,4,1,4,5,30
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-colinas-de-san-javier/casa-en-venta-colinas-de-san-javier/142454013,"Casa en Venta, Colinas de San Javier.","ventaMN 59,000,000","Paseo de la noria,  Fraccionamiento Colinas de San Javier, Guadalajara",846²,920²,5,4,5,4,8
https://www.vivanuncios.com.mx/a-venta-casa/bosques-de-la-victoria/casa-en-venta-en-bosques-de-la-victoria-guadalajara/146670305,"Casa en Venta en Bosques de La Victoria, Guadalajara","ventaMN 14,200,000","Calle Peninsula #2573,  Bosques de La Victoria, Guadalajara",322²,447²,4,2,3,5,20
https://www.vivanuncios.com.mx/a-venta-casa/la-federacha/casa-en-venta-en-la-federacha-guadalajara/147025363,"Casa en Venta en La Federacha, Guadalajara","ventaMN 5,500,000","Calle Monte Olimpo ,  La Federacha, Guadalajara",247²,291²,3,,1,4,20
https://www.vivanuncios.com.mx/a-venta-casa/atlas/casa-venta-colonia-atlas-guadalajara/146914623,"Casa Venta, Colonia Atlas, Guadalajara.","ventaMN 3,500,000","Rio Ocotlan 1374,  Atlas, Guadalajara",69²,130²,1,1,1,4,30
https://www.vivanuncios.com.mx/a-venta-casa/atlas/casa-venta-colonia-atlas-guadalajara/146261852,"Casa Venta, Colonia Atlas, Guadalajara.","ventaMN 2,650,000","rio volga 1548,  Atlas, Guadalajara",88²,143²,2,,1,4,50
https://www.vivanuncios.com.mx/a-venta-casa/country-club/country-club-gran-lujo-3-recamaras-5-autos-tiene-una-casa-extra-de-2-recamaras-en-el-jardin/146655488,"Country Club, Gran Lujo, 3 Recámaras, 5 Autos, Tiene Una Casa Extra de 2 Recámaras en El Jardín","ventaMN 30,120,000","Mar de Célebes No. 1815, Col. Country Club, Guadalajara,  Country Club, Guadalajara",687²,577²,3,2,5,3,2
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-u-oficina-en-venta-prados-providencia-guadalajara/145791226,Casa U Oficina en Venta Prados Providencia Guadalajara,"ventaMN 11,500,000","Ottawa 1139. Italia Providencia, Guadalajara Jal.,  Providencia, Guadalajara",242²,272²,2,1,1,3,30
https://www.vivanuncios.com.mx/a-venta-casa/jardines-de-la-paz/casa-en-venta-en-jardines-de-la-paz-luis-gonzalez-obrador-3282/146833122,Casa en Venta en Jardines de La Paz - Luis González Obrador 3282,"ventaMN 7,390,000","Luis Gonzalez Obregon 3282,  Jardines de La Paz, Guadalajara",120²,394²,4,3,5,4,5
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-comercial-venta-colonia-americana/145931122,"Casa Comercial Venta, Colonia Americana","ventaMN 13,480,000","Camarena 25,  Americana, Guadalajara",592²,828²,2,1,2,8,77
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-venta-en-colomos-providencia-alberta-2166/145888258,Casa en Venta en Colomos Providencia - Alberta 2166,"ventaMN 18,900,000","Alberta 2166,  Providencia, Guadalajara",430²,490²,3,1,5,3,26
https://www.vivanuncios.com.mx/a-venta-casa/moderna/propiedad-de-inversion-en-col-moderna-guadalajara/145347532,"Propiedad de Inversión en Col. Moderna, Guadalajara","ventaMN 4,150,000","Penitenciaria,  Moderna, Guadalajara",120²,202²,2,,1,4,51
https://www.vivanuncios.com.mx/a-venta-casa/providencia/venta-de-casa-de-una-planta-col-providencia/143999262,Venta de Casa de Una Planta - Col. Providencia.,"ventaMN 8,100,000","Justicia 2660,  Providencia, Guadalajara",240²,211²,3,1,1,3,40
https://www.vivanuncios.com.mx/a-venta-casa/santa-elena-alcalde-poniente/casa-en-santa-elena-alcalde-nueva/146805069,"Casa en Santa Elena Alcalde, Nueva.","ventaMN 4,750,000","linares 3060,  Santa Elena Alcalde Poniente, Guadalajara",129²,183²,2,1,2,3,
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-venta-en-providencia/144358710,Casa en Venta en Providencia,"ventaMN 10,150,000","Calle Bonifacio Andrada 2933,  Providencia, Guadalajara",250²,344²,3,2,3,5,45
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-del-country/casa-en-venta-jardines-del-country/144096496,Casa en Venta Jardines del Country,"ventaMN 4,750,000","mesones 2005,  Fraccionamiento Jardines Del Country, Guadalajara",160²,269²,1,,1,5,57
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-vallarta-norte/casa-venta/146799586,Casa - Venta,"ventaMN 6,990,000","RODRIGO DE TRIANA,  Fraccionamiento Vallarta Norte, Guadalajara",226²,308²,3,,2,4,
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-en-venta-en-col-americana/145981601,Casa en Venta en Col. Americana,"ventaMN 7,900,000","Miguel Blanco 1297, colonia americana,  Americana, Guadalajara",162²,250²,5,,,5,5
https://www.vivanuncios.com.mx/a-venta-casa/monraz/se-venta-excelente-casa-en-monraz-providencia/146804855,Se Venta Excelente Casa en Monraz - Providencia,"ventaMN 9,990,000","rinconada del tulipan,  Monraz, Guadalajara",290²,236²,4,,4,5,21
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-colinas-de-san-javier/casa-en-venta-en-colinas-de-san-javier/145585059,Casa en Venta en Colinas de San Javier,"ventaMN 49,900,000","P.º del Torreón 1805,  Fraccionamiento Colinas de San Javier, Guadalajara",756²,780²,5,,3,4,1
https://www.vivanuncios.com.mx/a-venta-casa/lomas-de-guevara/-oportunidad-casa-para-remodelar-manuel-acuna-2704-remate-a-media-cuadra-de-casa-jalisco/145750865,! Oportunidad! Casa Para Remodelar Manuel Acuña 2704 Remate (A Media Cuadra de Casa Jalisco,"ventaMN 26,800,000","AV MANUEL ACUÑA  2704,  Lomas de Guevara, Guadalajara",700²,678²,4,1,6,5,35
https://www.vivanuncios.com.mx/a-venta-casa/el-rosario/casa-en-venta-en-el-rosario/145734241,Casa en Venta en El Rosario,"ventaMN 12,000,000","Río Ometepec 1554,  El Rosario, Guadalajara",279²,618²,5,1,2,4,
https://www.vivanuncios.com.mx/a-venta-casa/lomas-independencia/casa-en-venta-en-la-providencia-tonala-jalisco/146909691,"Casa en Venta en La Providencia, Tonalá, Jalisco","ventaMN 3,400,000","San Alvaro ,  Lomas Independencia, Guadalajara",154²,239²,2,2,1,4,15
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-en-venta-colonia-americana/145867839,Casa en Venta Colonia Americana,"ventaMN 11,500,000","GENERAL SAN MARTIN,  Americana, Guadalajara",315²,272²,2,4,2,4,30
