direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"San Pascual 4766. Santa Isabel. Zapopan Jal.,  Fraccionamiento Jardines de Santa Isabel, Guadalajara",1.7,1.01,6.34
"Hidalgo 2042,  Ladron de Guevara, Guadalajara",1.08,1.78,3.46
"Jose Maria Vigil 2807,  Providencia, Guadalajara",0.61,1.39,3.51
"Hipodromo #2100, Colomos Providencia, Guadalajara,  Providencia, Guadalajara",1.13,0.7,2.74
"Calle Peninsula #2573,  Bosques de La Victoria, Guadalajara",1.67,2.9,6.08
"Rio Ocotlan 1374,  Atlas, Guadalajara",2.8,0.7,5.21
"rio volga 1548,  Atlas, Guadalajara",2.03,0.67,4.55
"Mar de Celebes No. 1815, Col. Country Club, Guadalajara,  Country Club, Guadalajara",1.73,0.76,2.45
"Ottawa 1139. Italia Providencia, Guadalajara Jal.,  Providencia, Guadalajara",0.85,0.86,2.97
"Luis Gonzalez Obregon 3282,  Jardines de La Paz, Guadalajara",0.49,1.92,7.75
"Camarena 25,  Americana, Guadalajara",1.84,1.56,1.37
"Alberta 2166,  Providencia, Guadalajara",0.39,2.46,4.57
"Justicia 2660,  Providencia, Guadalajara",0.52,2.16,3.51
"linares 3060,  Santa Elena Alcalde Poniente, Guadalajara",0.57,0.65,3.18
"Calle Bonifacio Andrada 2933,  Providencia, Guadalajara",0.83,2.04,3.93
"mesones 2005,  Fraccionamiento Jardines Del Country, Guadalajara",1.36,1.53,2.59
"P.o del Torreon 1805,  Fraccionamiento Colinas de San Javier, Guadalajara",2.28,1.95,4.98
"AV MANUEL ACUNA  2704,  Lomas de Guevara, Guadalajara",0.42,2,3.48
"Rio Ometepec 1554,  El Rosario, Guadalajara",1.39,1.17,5.84
"AV. COLON 4090,  Unidad habitacional El Sauz Acueducto, Guadalajara",1.5,1.33,8.5
"Montes Urales 2858,  La Federacha, Guadalajara",2.12,0.08,4.53
"Chapala 80,  Vallarta Poniente, Guadalajara",2,0.9,4.71
"Benjamin Romero 18,  Arcos Vallarta, Guadalajara",1.77,1.55,4.11
"SIERRA LEONA 1944,  Independencia, Guadalajara",0.75,1.28,3.26
"Lago de Catemaco 2258,  Fraccionamiento Jardines Del Country, Guadalajara",0.8,1.74,3.22
"Rio Zapotlanejo 1360,  Atlas, Guadalajara",2.94,0.74,5.38
"Calle Puerto Soto La Marina 1784,  Circunvalacion Belisario, Guadalajara",2.91,1.72,3.5
"Calle Jose Ignacio Solorzano 612,  Fraccionamiento Jardines Alcalde, Guadalajara",2.61,0.97,2.16
"Tormenta 847,  Jardines del Bosque, Guadalajara",1.32,2.78,3.84
"A UNAS CUADRAS DEL ESTADIO Calle Siete Colinas 1772, Colonia Independencia, Guadalajara, Jalisco, Mexico,  Independencia, Guadalajara",0.94,1.36,3.13
"Calle Jose Martinez Sotomayor 896,  Fraccionamiento Jardines de los Historiadores, Guadalajara",0.74,1.11,8.33
"Avenida la Paz 2316,  Americana, Guadalajara",1.66,2.59,3.03
"Antofagasta 2219,  Colonia Huentitan El Alto, Guadalajara",1.46,1.95,6.34
"Mexicaltzingo 1957,  Americana, Guadalajara",2.12,2.74,2.7
"La Guaira  al 2900,  Fraccionamiento Colomos Providencia, Guadalajara",1.23,1.03,3.78
"Capuchinas 2961, Col. Chapalita, Guadalajara, Jalisco,  Chapalita, Guadalajara",1.16,2.3,5.46
"ZENZONTLE 789,  8 de Julio , Guadalajara",1.7,1.54,4.66
"Mar Negro 1416,  Fraccionamiento Lomas Del Country, Guadalajara",2.23,1.18,2.24
"Hda. La Candelaria 2284,  Unidad habitacional Plutarco Elias Calles , Guadalajara",1.55,1.24,6.97
"isla cleofas 2385,  Bosques de La Victoria, Guadalajara",1.03,1.18,6.4
"CALLE LA LUNA 2863,  Jardines del Bosque, Guadalajara",1.98,2.04,4.44
"puerto soto la marina 1784,  Circunvalacion Belisario, Guadalajara",2.91,1.72,3.5
"Av Jaime Torres Bodet 3224,  Jardines El Sauz, Guadalajara",1.19,2.78,8.36
"Joaquin Angulo 982,  Barrio Santa Teresita, Guadalajara",2.08,2.82,1.08
"Antofagasta 2248,  Providencia, Guadalajara",0.16,2.67,4.49
"GENERAL SAN MARTIN 1,  Americana, Guadalajara",2.89,2.96,2.49
"Manuel Acuna 3540,  Fraccionamiento Rinconada Santa Rita, Guadalajara",1.8,0.55,5.34
"Monte Tabor 198,  Independencia, Guadalajara",0.64,1.33,3.26
"Calzada Revolucion 1634,  La Loma, Guadalajara",2.96,2.89,4.44
"Medrano 2235,  San Antonio, Guadalajara",0.69,0.74,5.32
"Rio de Janeiro 2085,  Providencia, Guadalajara",1.55,0.18,3.08
"Fray Luis de Palacio 443. Col. Ladron de Guevara. Guadalajara Jal.,  Ladron de Guevara, Guadalajara",0.29,1.95,2.99
"C. Agustin de la Rosa 774 Col. Italia Providencia, 44656 Guadalajara, Jal.,  Fraccionamiento Italia Providencia, Guadalajara",0.72,1.23,2.59
"Calle de San Gabriel 588,  Jardines de los Arcos, Guadalajara",0.78,1.26,5.05
"Manuel Mena 3412,  Lomas de Polanco, Guadalajara",1.68,2.14,6.54
"Avenida Rio Nilo 6998,  Popular Hornos, Guadalajara",0.76,1.02,8.43
"Alberta 2206, Colomos Providencia,  Fraccionamiento Colomos Providencia, Guadalajara",0.34,2.45,4.61
"Grosellos 6,  Miravalle, Guadalajara",2.42,1.66,8.63
"Calle La Luna 2595,  Jardines del Bosque, Guadalajara",1.54,2.35,4.04
"Joaquin Arriera 77,  Arcos Vallarta, Guadalajara",1.8,1.54,4.14
"Chapala 26,  Vallarta Poniente, Guadalajara",1.91,0.91,4.62
"Carabelas 1597, Fracc. Colon. Guadalajara Jal.,  Fraccionamiento Jardines de La Cruz, Guadalajara",2.8,1.51,5.02
"Sierra Mojada 1564,  Fraccionamiento Independencia Oriente, Guadalajara",2.2,2.78,2.74
"Valerio Trujano 4386,  El Carmen, Guadalajara",1.73,1.53,8.22
"monaco 2513,  Providencia, Guadalajara",0.87,0.84,3.06
"Mar Rojo 1783,  Fraccionamiento Chapultepec Country, Guadalajara",2.13,1.42,1.86
"Napoleon 180,  Fraccionamiento Vallarta Norte, Guadalajara",1.2,1.19,3.97
"Av. de los Maestros 436,  Alcalde Barranquitas, Guadalajara",1.51,2.08,1.31
"2622 C. Joaquin Angulo,  Circunvalacion Americas, Guadalajara",0.51,2.2,3.41
"Gregorio Almada 1369,  Echeverria, Guadalajara",2.03,1.81,6.77
"Calle Urbano San Roman 2637,  Guadalajara, Jalisco",2.92,1.07,5.94
"Prudencia 160,  La Federacha, Guadalajara",2.1,0.09,4.49
"Av Pablo Neruda 3366,  Fraccionamiento Colinas de San Javier, Guadalajara",1.86,2.35,4.74
"Avenida Topacio 2439,  Fraccionamiento Verde Valle, Guadalajara",1.99,2.8,5.95
"Manuel Cuesta Gallardo 117,  Barrio San Juan Bosco, Guadalajara",2.17,2.19,3.52
"bogota 2660,  Providencia 1a Secc, Guadalajara",0.92,0.53,1.33
"Calle San Martin de Porres 3380,  Chapalita, Guadalajara",0.55,1.21,5.28
"Calle Mar Rojo 2079,  Country Club, Guadalajara",1.82,0.79,2.45
"Puerto Pichilingue 62,  Monumental, Guadalajara",2.66,1.66,2.96
"Guayaquil 2730,  Providencia 1a Secc, Guadalajara",1.72,0.64,3.78
"Calle Toltecas 3521,  Guadalajara, Jalisco",1.96,0.25,5.02
"Vasco Nunez de Balboa 2807,  Fraccionamiento Colon Industrial, Guadalajara",2.04,1.99,5.88
"La Luna 2557,  Jardines del Bosque Norte, Guadalajara",1.97,2.2,4.46
"Esmeralda 2940,  Jardines de San Jose, Guadalajara",0.67,0.57,7
"Paseo del Torreon 1732,  Fraccionamiento Colinas de San Javier, Guadalajara",2.19,2.05,4.88
"Brasilia 2875,  Providencia, Guadalajara",2.19,0.93,4.13
"Av. de la Presa 2003,  Fraccionamiento Jardines Del Country, Guadalajara",0.58,1.29,3.39
"Calle Industria 421,  La Perla, Guadalajara",0.75,1.07,2.06
"Urbano San Roman 2637,  El Dean, Guadalajara",2.92,1.07,5.94
"Inglaterra 32593 vallarta sur, guadalajara jalisco,  Vallarta Sur, Guadalajara",2.13,0.99,4.79
"LA PERPETUA 1626,  Fraccionamiento Jardines Del Country, Guadalajara",1.65,2.17,2.56
"ANASTACIO BUSTAMANTE 13,  Barrio Santa Teresita, Guadalajara",1.09,1.74,2.02
"misioneros 2089,  Fraccionamiento Jardines Del Country, Guadalajara",1.24,1.75,2.77
"Fray Junipero Serra #2163 esquina con Jesus Romero Flores   Colonia Jardines Alcalde C.P. 44298,  Fraccionamiento Jardines Alcalde, Guadalajara",2.84,0.86,2.41
"Monte Himalaya 1143,  Lomas Independencia, Guadalajara",2.25,2.77,3.07
"Robles Gil 384,  Americana, Guadalajara",1.91,2.29,2.27
"Av. San Francisco 3692,  Chapalita, Guadalajara",0.51,0.85,5.61
"Potrero del Llano 1472, 18 de Marzo,  Lomas de Polanco, Guadalajara",2.13,2.04,6.16
"Mexicaltzingo 2034,  Americana, Guadalajara",2.29,2.9,2.8
"MONTES PIRINEOS 1871,  Monumental, Guadalajara",2.72,1.61,2.93
"Jose Gomez Hugarte 3310,  1 de Mayo, Guadalajara",1.88,2.03,6.29
"Av. de las Americas 60-1,  Lafayette, Guadalajara",1.28,2.74,2.59
"Donceles 2018,  Fraccionamiento Jardines Del Country, Guadalajara",1.37,1.46,2.57
"Joaquin Amaro #1831,  Oblatos, Guadalajara",2.39,1.19,6.33
"Av. Ignacio L Vallarta 1352,  Reforma Centro, Guadalajara",2.45,2.5,2.08
"Cancer 3950,  Fraccionamiento Rinconada Santa Rita, Guadalajara",1.13,1.13,5.99
"Calle 5 de Febrero 2728 colonia Rancho Blanco,  Rancho Blanco, Guadalajara",0.54,1.09,6.28
"C. Jose Maria Vigil 2807, Lomas de Guevara, 44657 Guadalajara, Jal.,  Lomas de Guevara, Guadalajara",0.61,1.39,3.51
"Guayaquil 2730,  Providencia, Guadalajara",1.72,0.64,3.78
"Av. Rio Nilo 559,  Quinta Velarde, Guadalajara",1.31,2.22,3.75
"BATALLON DE SAN PATRICIO 516,  Fraccionamiento Batallon de San Patricio, Guadalajara",1.72,0.67,5.11
"Hacienda De Guadalupe 1259,  Oblatos Poniente Santa Rosa, Guadalajara",1.62,1.74,5.12
"Miguel de Alba  3000,  Heliodoro HernAndez Loza , Guadalajara",2.65,2.23,7.91
"Miguel Angel de Quevedo 696,  Lomas de Guevara, Guadalajara",0.07,1.68,3.04
"Dia 2534 Col. Jardines del Bosque,  Fraccionamiento Jardines Del Bosque, Guadalajara",1.51,2.58,4.03
"cristobal de aguirre 1178,  Fraccionamiento Jardines de Plaza Del Sol, Guadalajara",1.29,2.49,5.59
"Emilio Castelar 205,  Arcos Vallarta, Guadalajara",1.76,1.86,3.86
"Calle Urbano San Roman 2637,  Higuerillas, Guadalajara",2.92,1.07,5.94
"Volcan Cayambe 554,  Colonia Huentitan El Bajo, Guadalajara",0.4,1.97,6.28
"Rinconada del Nardo #441, Rinconada Santa Rita, Guadalajara,  Fraccionamiento Rinconada Santa Rita, Guadalajara",1.96,0.49,5.06
"lealtad 3100,  Fraccionamiento Jardines de Santa Isabel, Guadalajara",1.84,0.32,4.82
"Col. Americana 44150,  Americana, Guadalajara",1.92,2.53,3.37
"CENIT 1126,  Jardines del Bosque, Guadalajara",1.61,2.61,5.21
"urbano san roman 2637,  El Dean, Guadalajara",2.92,1.07,5.94
"penitenciaria 783,  Moderna, Guadalajara",2.4,1.86,2.5
"Nueva Escocia 1838,  Fraccionamiento Colomos Providencia, Guadalajara",1.97,2.62,4.28
"Ghilardi 366,  Barrio Santa Teresita, Guadalajara",2.39,2.6,1.34
"JUAN BERNARDINO 683,  Chapalita, Guadalajara",0.6,1.4,5.26
"ISLA MARIA CLEOFAS 2454,  Bosques de La Victoria, Guadalajara",1.07,1.21,6.36
"Turin 3115,  Providencia 4a Secc, Guadalajara",1.28,1.5,4.12
"peninsula 2712,  Bosques de La Victoria, Guadalajara",1.44,2.86,6.28
"COMPOSTELA 1576,  Fraccionamiento Chapultepec Country, Guadalajara",2.76,1.87,1.43
"EFRAIN GONZALEZ LUNA 2469,  Arcos Vallarta, Guadalajara",1.9,2.35,3.54
"Milan 2606,  Providencia, Guadalajara",0.89,0.88,3.27
"puerto altata 745,  Belisario Dominguez, Guadalajara",2.87,1.67,3.57
"Andres Teran 1594,  Fraccionamiento Chapultepec Country, Guadalajara",2.28,1.52,1.83
"Calle Simon Bolivar 595,  Moderna, Guadalajara",2.47,1.04,3.23
"GALEANA 264,  Guadalajara Centro, Guadalajara",1.22,0.72,1.58
"Calle Diamante 2450,  Bosques de La Victoria, Guadalajara",1.62,1.76,5.86
"Fray Luis de Palacio 530,  Ladron de Guevara, Guadalajara",0.18,1.78,2.96
"Calle Francia 1551,  Moderna, Guadalajara",1.28,2.33,2.8
"MAR MARMARA 1838,  Country Club, Guadalajara",1.42,1.29,2.52
"Jorge Villasenor 489,  Fraccionamiento Jardines Alcalde, Guadalajara",2.63,1.14,2.32
"PM37+928 Guadalajara, Jalisco, Mexico,  Fraccionamiento Jardines Alcalde, Guadalajara",2.63,1.14,2.32
