direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Paseo del Agua 192,  El Palomar, Tlajomulco de Zuniga",1.6,1.49,13.29
"Blvd. Valle del Silicio #130 int.162,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",0.78,1.2,11.67
"Av Camino Real a Colima 200,  Adamar, Tlajomulco de Zuniga",2.12,0.56,6.75
"Av Lopez Mateos Sur 11111,  Fraccionamiento Valle de las Flores, Tlajomulco de Zuniga",0.94,2.43,17.19
"Aldama 130B,  Los Gavilanes Poniente, Tlajomulco de Zuniga",1.31,2.18,10.72
"Norte #158,  Residencial Provenza, Tlajomulco de Zuniga",2.23,1.27,9.99
"Av. Vuelo de las Grullas #200-int 158,  San Agustin, Tlajomulco de Zuniga",2.42,1.33,9.16
"Privada de la Cuspide 105,  El Palomar, Tlajomulco de Zuniga",2.31,2.61,12.91
"De Los Tucanes 79,  El Palomar, Tlajomulco de Zuniga",1.54,1.26,13.4
"San Martin 1E, Arbolada 2. Bosques de Santa Anita. Tlajomulco de Zuniga, Jal.,  Bosques de Santa Anita, Tlajomulco de Zuniga",2.91,0.81,9.96
"vuelo de las Grullas #200 int. 164,  San Agustin, Tlajomulco de Zuniga",2.42,1.33,9.16
"Paseo La Torre 185,  Fraccionamiento El Alcazar (Casa Fuerte), Tlajomulco de Zuniga",0.93,1.47,7.89
"Ramal de la Tijera  1235 Guadalajara Jalisco,  La Tijera, Tlajomulco de Zuniga",1,0.41,12.66
"Av. Element (Fraccionamiento Element) 116 Int. 120,  Element, Tlajomulco de Zuniga",0.25,0.01,0.14
"PASEO DEL PALOMAR 120,  El Palomar, Tlajomulco de Zuniga",1.09,0.28,13.07
"Paseo de Los Naranjos 421,  Campo de Golf Santa Anita Condominio, Tlajomulco de Zuniga",2.38,0.52,9.71
"Crepusculo 124,  Fraccionamiento Sendero las Moras, Tlajomulco de Zuniga",2.66,1.33,9.6
"Paseo del Alamo 148,  El Palomar, Tlajomulco de Zuniga",2.15,1.45,10.58
"Av. Lomas Altas 14 d,  Bosques de Santa Anita, Tlajomulco de Zuniga",2.92,0.82,9.97
"Punto Sur Este #222, Punto Sur, Tlajomulco de Zuniga,  Punto Sur, Tlajomulco de Zuniga",1.6,2.5,10.63
"Boulevard prolongacion Mariano Otero 1501,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",0.44,1.26,11.59
"Prolongacion Avenida Mariano Otero No. 132,  El Palomar, Tlajomulco de Zuniga",0.98,0.35,12.99
"CASA FUERTE 103,  Casa Fuerte, Tlajomulco de Zuniga",1.37,1.08,7.47
"Av Vuelo de las Grullas 50,  San Agustin, Tlajomulco de Zuniga",2.35,1.37,8.8
"Cedro 87,  Alameda, Tlajomulco de Zuniga",0.26,0.99,20.94
"paseo de las cumbres 1,  El Cielo Country Club Tlajomulco, El Palomar",1.39,1.58,12.82
"Bulevard Valle del Silicio #150 Int. 77,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",0.81,1.23,11.64
"Av Nueva Galicia 265,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",1.28,1.8,11.1
"Cotorra 101,  Punto Sur, Tlajomulco de Zuniga",1.6,2.49,10.53
"Parcela 44 lote 1,  Santa Cruz de las Flores, Tlajomulco de Zuniga",1.97,0.44,4.81
"Circuito Lomas Altas 23B,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.17,0.45,11.63
"Napa 15,  Lomas de San Agustin, Tlajomulco de Zuniga",0.05,1.68,5.76
"Obeliscos 531,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",2.53,1.2,10.41
