direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Arroyo Seco No. 1300, Coto Abeto,  Fraccionamiento Los Olivos de Tlaquepaque, San Pedro Tlaquepaque",1.74,2.92,10.35
"Calle Independencia 1010 6,  Pueblo Santa Maria Tequepexpan, San Pedro Tlaquepaque",1.76,2.88,11.52
"Av. San Blas 2468, 45615 Santa Cruz del Valle,,  Fraccionamiento Parques Santa Cruz Del Valle, San Pedro Tlaquepaque",0.16,2.56,9.05
"Prolongacion Lopez Cotilla  1423,  Pedregal Del Bosque, San Pedro Tlaquepaque",1.88,0.91,8.44
"rosas rojas 299,  La Guadalupana, San Pedro Tlaquepaque",2.4,0.79,5.81
"CAMINO REAL A COLIMA NUMERO 185 INTERIOR 4 FRACCIONAMIENTO GEOVILLAS DEL REAL TLAQUEPAQUE, JALISCO,  Fraccionamiento Geovillas del Real, San Pedro Tlaquepaque",1.97,2,14.02
"Plan Sexenal 3325. Residencial Revolucion. Tlaquepaque Jal.,  Fraccionamiento Revolucion, San Pedro Tlaquepaque",1.92,2.87,2.11
"Constitucion 39,  Cerro Del 4, San Pedro Tlaquepaque",1.81,2.14,5.42
"Plan de Ayala 3840. Fracc. Residencial Revolucion. Tlaquepaque Jal.,  Fraccionamiento Revolucion, San Pedro Tlaquepaque",1.95,1.55,2.1
"CANTABRIA 215,  Pedregal Del Bosque, San Pedro Tlaquepaque",2.77,2.07,4.81
"Alamo 729 int 11,  Fraccionamiento Las Terrazas Residencial, San Pedro Tlaquepaque",1.04,0.31,7.24
"De las Americas 172,  Tlaquepaque Centro, San Pedro Tlaquepaque",2,2.02,1.27
"C. Constitucion de 1917 3701, Fraccionamiento Revolucion, 45580 San Pedro Tlaquepaque, Jal.,  Fraccionamiento Revolucion, San Pedro Tlaquepaque",2.25,1.89,2.39
"Tierra de duendes 209,  Fraccionamiento Terralta, San Pedro Tlaquepaque",1.17,2.05,5.78
"vista del valle #1110,  Fraccionamiento Las Terrazas Residencial, San Pedro Tlaquepaque",0.79,0.6,6.95
"Av. San Blas 2545,  Fraccionamiento Parques Santa Cruz Del Valle, San Pedro Tlaquepaque",0.35,2.33,8.84
"Azucena 378,  Jardines de La Paz, San Pedro Tlaquepaque",1.12,2.68,1.25
"HACIENDA RINCON DE LA CANADA 125,  Fraccionamiento Haciendas de Vista Hermosa, San Pedro Tlaquepaque",1.91,0.43,6.94
"Plan Sexenal 3277,  Revolucion Jardin, San Pedro Tlaquepaque",1.94,2.75,2.13
"Calle Cedros 49,  Fraccionamiento Loreto, San Pedro Tlaquepaque",2.71,2.47,16.13
"Rio Tuxpan 505,  Loma Bonita Ejidal, San Pedro Tlaquepaque",1.47,1.76,9.54
"Av Comonfort 1500,  Centro, San Pedro Tlaquepaque",2.19,2.02,11.02
"ANDADOR PATRIA 3581,  El Tapatio, San Pedro Tlaquepaque",2.67,1.7,2.82
"Prolongacion gobernador curiel 6047,  Lomas Del 4, San Pedro Tlaquepaque",1.66,1.31,6.49
"And. A 124, Altos Nte.,,  Tlaquepaque, San Pedro Tlaquepaque",0.59,1.5,2.39
"AV. AGRICOLA 2882,  Fraccionamiento Parques del Bosque, San Pedro Tlaquepaque",2.3,1.52,11.64
"Calle del Bosque 428,  Fraccionamiento Parques del Bosque, San Pedro Tlaquepaque",2.39,1.34,11.22
