direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Av Camino Mozarabe #1443,  Coyula, Tonala",2.21,0.65,5.31
"Prado del fresno 1156,  Rancho La Cruz, Tonala",2.24,0.46,3.22
"Privada Juarez 69,  Tonala Centro, Tonala",0.84,0.47,1.02
"El Campo 2657,  Fraccionamiento Praderas de Tonallan, Tonala",0.12,1.2,4.64
"Valle Rio San Lorenzo 78,  Los Camichines, Tonala",2.2,1.42,4.23
"Rafael Gonzalez 453,  El Mirador, Tonala",1.4,1.37,1.4
"Andador Laurel 235,  Bosques de Tonala, Tonala",2.31,2.07,2.99
"Callejon de la Ladera 43,  Coyula, Tonala",2.37,2.38,2.22
"Calle San Francisco 1004,  Arroyo, Tonala",0.17,0.42,4.2
"AV CAMINO DE MOZARABE 1443,  Fraccionamiento Urbi Quinta, Tonala",1.8,0.48,5.66
"JUAN ESCUTIA 321,  Fraccionamiento 20 de Noviembre , Tonala",2.62,1.39,3.82
"Alameda 90,  Potrero de Jauja, Tonala",0.4,0.47,3.68
"Caracas poniente 14,  El Moral, Tonala",2.56,2.54,2.36
"loma arenal 329,  Loma Dorada Delegacion a, Tonala",1.02,2.55,1.46
"Loma Arandas 199,  Loma Dorada Delegacion a, Tonala",1.13,2.58,1.42
"Carretera Libre a Zapotlanejo 122,  Santa Paula, Tonala",2.26,2.23,2.44
"PALMA NORTE 110,  Tonala, Jalisco",2.17,0.98,3.87
"Calle Fuente Keops 45,  Fraccionamiento Fuentes Del Nilo, Tonala",1.47,1.39,3.15
"camichines 2, Calle Amaranto 413,  Los Camichines, Tonala",0.96,1.18,4.9
"Privada del Llano Norte 128,  Fraccionamiento Puente Viejo, Tonala",0.27,1.44,7.96
"Andoain 1614 L-13,  Coyula, Tonala",2.25,0.26,6.31
"santa cruz 549,  Fraccionamiento La Providencia, Tonala",0.43,2.54,2.38
"Sauz 79,  Bosques de Tonala, Tonala",2.7,2.26,2.76
"Rio Papaloapan 1523,  Coyula, Tonala",2.1,0.43,5.24
"camino del seminario 32,  Rancho o rancheria San Francisco de La Soledad, Tonala",0.58,1.98,12.49
"Antonio caso 405,  Basilio Badillo, Tonala",2.19,2.35,3.15
"Calle Rio Papaloapan 1523,  Paseo Puente Viejo, Tonala",2.1,0.43,5.24
"San Sebastian 201,  Loma Bonita, Tonala",2.25,1.94,6.09
"Andador Vicente Guerrero 22,  Lomas de La Soledad, Tonala",1.69,1.09,2.94
"palma sur 117,  Paseo Puente Viejo, Tonala",0.11,1.41,8.16
"Cerrada Talavera de la Reina 1349,  Fraccionamiento Urbi Quinta Montecarlo, Tonala",0.1,0.07,0.14
"MOCTEZUMA 130-403 COLONIA: PUEBLITO DEL SOL. TONALA,  Pueblito Del Sol, Tonala",0.62,2.93,2.46
"Loma Joconoxtle 8481,  Fraccionamiento Loma Dorada , Tonala",1.46,2.45,1.58
"LOMA AHUISCULCO 8383,  Loma Dorada Ejidal, Tonala",1.39,2.28,1.73
"Calle la Paz 54,  San Gaspar de las Flores, Tonala",2.85,0.56,5.92
"Calle Yucatan ( Fraccionamiento Hacienda Real). 42,  Haciendas Tonala, Tonala",0.18,0.59,4.31
"San Francisco 348,  Fraccionamiento La Providencia, Tonala",1.37,1.34,1.43
"LIMON 104,  Jauja, Tonala",0.36,0.29,4.49
"COLINA IMPERIAL 987,  Colinas de Tonala, Tonala",0.35,0.43,3.97
"VIOLETA 779,  Bosques de Tonala, Tonala",2.28,2.15,2.99
"CALLE LOMA TINGUINDIN PONIENTE NO. 308-B,  Loma Dorada Ejidal, Tonala",1.53,1.23,2.83
"HACIENDA DE LOS EUCALIPTOS 21 16,  Hacienda Del Real, Tonala",0.02,0.54,3.76
"Calle Maple 20a,  Rancho La Cruz, Tonala",2.56,0.9,3.38
"20 Tegucigalpa,  El Moral, Tonala",2.71,2.7,2.51
"Calle Limon Sur 129,  Lomas de Camichin , Tonala",1.68,1.15,3.29
"Prado de Las Caobas 1701,  Fraccionamiento Prados Cruz , Tonala",2.71,0.93,3.6
"Loma Norte  al 300,  Fraccionamiento Loma Dorada , Tonala",0.39,2.54,1.78
"138 Tepatitlan,  Jalisco, Tonala",0.18,2.72,7.35
