direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Paseo DE Torreon 1824,  Colinas de San Javier, Zapopan",1.85,1.66,3.99
"Tomas Balcazar  1426  , Valle Imperial , 45134 Zapopan, Jalisco, Mexico,  Fraccionamiento Valle Imperial, Zapopan",2.16,1.81,7.15
"Av. Juan Palomar y Arias 1180,  Jardines Universidad, Zapopan",1.22,2.1,5.45
"AV ACUEDUCTO 5151,  Puerta de Hierro, Zapopan",0.77,0.37,3
"Alva Residencial coto 3,  Zapopan, Jal.,  Fraccionamiento Valle Imperial, Zapopan",0.3,0.45,7.76
"La Campina #33, Royal Country, Zapopan,  Royal Country, Zapopan",2.06,1.22,4.49
"Av. Paseo Toscana 111,  Valle Real, Zapopan",1.96,2.88,4.87
"Tenochtitlan 216,  Ciudad Del Sol, Zapopan",1.26,1.35,9.35
"Privada de las Joyas 55,  Loma Chica, Zapopan",0.2,2.21,13.41
"Av. Las Palmas #100,  Villa Magna, Zapopan",1.17,1.69,1.9
"Av. F 5250,  Fraccionamiento Valle Imperial, Zapopan",0.4,0.44,6.62
"Paseo Altanza 2132,  Fraccionamiento Solares, Zapopan",1.77,2.2,9.03
"Aurora 231,  Chapalita Oriente, Zapopan",0.41,2.29,7.69
"Campo Principes 451 int. 13,  Fraccionamiento Campo Real, Zapopan",2.08,1.95,8.72
"Paseo de la Cantera 883,  Fraccionamiento Valle Imperial, Zapopan",2.14,1.79,7.16
"Av. Aviacion 4624,  Fraccionamiento Jardin Real, Zapopan",0.65,1.52,6.32
"Paseo de la Cantera 880,  Fraccionamiento Valle Imperial, Zapopan",2.13,1.78,7.16
"Prolongacion Iturbide 3037  , Jardines de Santa Ana , 45230 Zapopan, Jalisco, Mexico,  Fraccionamiento Jardines de Santa Ana, Zapopan",1.22,1.84,14.42
"Via Lactea 3949,  Arboledas , Zapopan",0.51,2.1,11.73
"Cvln. Menhir Nte 707,  Altamira, Zapopan",0.57,2.08,2.17
"Av. Guadalajara #3743,  Fraccionamiento Valle Imperial, Zapopan",0.56,2.52,5.77
