url,titulo,precio,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad,direccion
https://www.vivanuncios.com.mx/a-venta-casa/cerro-del-tesoro/casa-u-oficina-en-venta-cerro-del-tesoro-tlaquepaque/143630820,Casa U Oficina en Venta Cerro del Tesoro Tlaquepaque,"ventaMN 10,750,000",370²,370²,7,,4,,21,"Vista al Amanecer 1835. Cerro del Tesoro. Tlaquepaque Jal.,  Cerro Del Tesoro, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/tlaquepaque/casa-en-venta-coto-aurea-residencial-tlaquepaque/145027730,"Casa en Venta Coto Áurea Residencial, Tlaquepaque","ventaMN 3,980,000",93²,149²,3,1,2,,7,"Av. Camino Real a Colima 445-Int. 67, La Tijera, 45602 San Pedro Tlaquepaque, Jal.,  Tlaquepaque, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-los-olivos-de-tlaquepaque/casa-en-venta-dentro-de-coto-abeto-fraccionamiento-los-olivos-tlaquepaque-jal/147045933,"Casa en Venta Dentro de Coto Abeto, Fraccionamiento Los Olivos, Tlaquepaque, Jal","ventaMN 2,420,000",98²,127²,2,1,2,4,14,"Arroyo Seco No. 1300, Coto Abeto,  Fraccionamiento Los Olivos de Tlaquepaque, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/pueblo-santa-maria-tequepexpan/casa-e-venta-coto-san-carlos-frente-al-iteso/146277979,Casa E Venta Coto San Carlos Frente Al Iteso,"ventaMN 3,750,000",97²,136²,3,,2,3,,"Calle Independencia 1010 6,  Pueblo Santa Maria Tequepexpan, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-parques-santa-cruz-del-valle/casa-en-jardines-de-santa-cruz-del-valle-tlaquepaque/145684867,"Casa en Jardines de Santa Cruz del Valle, Tlaquepaque","ventaMN 1,770,000",80²,81²,2,,2,2,3,"Av. San Blas 2468, 45615 Santa Cruz del Valle,,  Fraccionamiento Parques Santa Cruz Del Valle, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-loreto/excelente-residencia-en-venta-en-fraccionamiento-loreto-coto-montserrat/146120455,Excelente Residencia en Venta en Fraccionamiento Loreto Coto Montserrat,"ventaMN 2,795,000",90²,128²,2,1,2,3,18,"Catalina,  Fraccionamiento Loreto, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-lomas-de-san-miguel/bonita-propiedad-en-venta-en-lomas-de-san-miguel-tlaquepaque/146515398,"Bonita Propiedad en Venta en Lomas de San Miguel, Tlaquepaque","ventaMN 3,750,000",105²,161²,3,1,2,3,22,"San Rafael Arcangel,  Fraccionamiento Lomas de San Miguel, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/pedregal-del-bosque/casa-en-venta-en-zimalta-con-espectaculares-vistas-desde-su-roof-garden/146570715,Casa en Venta en Zimalta con Espectaculares Vistas Desde Su Roof Garden,"ventaMN 3,400,000",97²,135²,2,1,2,3,,"Prolongación López Cotilla  1423,  Pedregal Del Bosque, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/unidad-habitacional-infonavit-revolucion/casa-en-venta-en-san-pedro-tlaquepaque-jalisco/146430161,Casa en Venta en San Pedro Tlaquepaque Jalisco,"ventaMN 8,500,000",216²,340²,3,1,,4,7,"Leandro Valle 203,  Unidad habitacional INFONAVIT Revolución, San Pedro Tlaquepaque"
https://www.vivanuncios.com.mx/a-venta-casa/la-guadalupana/casa-en-venta-en-tlaquepaque/146745101,Casa en Venta en Tlaquepaque,"ventaMN 3,200,000",280²,280²,3,,3,4,15,"rosas rojas 299,  La Guadalupana, San Pedro Tlaquepaque"
