url,titulo,precio,direccion,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad
https://www.vivanuncios.com.mx/a-venta-casa/coyula/casa-en-venta-paseos-de-santiago-tonala-jalisco/146818697,"Casa en Venta, Paseos de Santiago Tonala, Jalisco","ventaMN 2,552,000","Av Camino Mozarabe #1443,  Coyula, Tonalá",167²,113²,2,,3,2,15
https://www.vivanuncios.com.mx/a-venta-casa/tonala-centro/casa-en-venta-tonala-centro-tonala-jalisco/144840325,"Casa en Venta Tonalá Centro, Tonalá Jalisco","ventaMN 5,500,000","5 de Mayo 16,  Tonalá Centro, Tonalá",318²,330²,,,1,6,40
https://www.vivanuncios.com.mx/a-venta-casa/rancho-la-cruz/casa-venta-rancho-la-cruz-tonala/141813602,Casa Venta Rancho La Cruz Tonala,"ventaMN 4,850,000","Prado del fresno 1156,  Rancho La Cruz, Tonalá",228²,396²,3,,2,3,15
https://www.vivanuncios.com.mx/a-venta-casa/tonala-centro/casa-venta-tonala-centro/146075586,"Casa Venta, Tonala Centro.","ventaMN 9,800,000","Privada Juarez 69,  Tonalá Centro, Tonalá",530²,260²,2,,7,3,35
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-praderas-de-tonallan/casa-venta-praderas-de-tonallan-tonala/145902008,"Casa Venta, Praderas de Tonallan, Tonalá.","ventaMN 4,642,000","El Campo 2657,  Fraccionamiento Praderas de Tonallan, Tonalá",272²,245²,2,1,2,3,3
https://www.vivanuncios.com.mx/a-venta-casa/jalisco/casa-en-venta-en-colonia-jalisco/147072641,Casa en Venta en Colonia Jalisco,"ventaMN 5,090,000","Totatiche  351, Jalisco IV Secc, 45412 Tonalá, Jal.,  Jalisco, Tonalá",479²,399²,5,,,6,30
https://www.vivanuncios.com.mx/a-venta-casa/coyula/casa-en-obra-blanca-lista-para-recibir-acabados/145632310,Casa en Obra Blanca Lista Para Recibir Acabados,"ventaMN 990,000","CAMINO AL MULATO NUMERO ,  Coyula, Tonalá",142²,2060²,2,,2,4,
https://www.vivanuncios.com.mx/a-venta-casa/los-camichines/casa-en-coto-privado-en-camichines-ii-abajo-de-la-central-nueva-al-limite-con-tlaquepaque/146427142,"Casa en Coto Privado en Camichines II, Abajo de La Central Nueva Al Limite con Tlaquepaque","ventaMN 2,099,000","Valle Rio San Lorenzo 78,  Los Camichines, Tonalá",60²,120²,1,1,1,3,30
https://www.vivanuncios.com.mx/a-venta-casa/pedregal/casa-nueva-en-venta-dentro-de-coto-en-vistas-del-rey-tonala-jal/145661153,"Casa Nueva en Venta Dentro de Coto en Vistas del Rey, tonala Jal.","ventaMN 2,250,000","FRACC.VISTAS DEL REY,  Pedregal, Tonalá",90²,120²,2,1,2,3,
https://www.vivanuncios.com.mx/a-venta-casa/tonaltecas/propiedad-en-venta-en-tonala-ideal-para-inversion/147078227,Propiedad en Venta en Tonalá – Ideal Para Inversión,"ventaMN 4,500,000","Avenida Tonaltecas,  Tonaltecas, Tonalá",70²,210²,2,4,,4,20
https://www.vivanuncios.com.mx/a-venta-casa/el-mirador/casa-venta-mirador-del-sur-tonala/146391846,"Casa Venta, Mirador del Sur, Tonalá.","ventaMN 2,290,000","Rafael Gonzalez 453,  El Mirador, Tonalá",120²,120²,1,,2,3,8
https://www.vivanuncios.com.mx/a-venta-casa/bosques-de-tonala/venta-casa-bosques-de-tonala-tonala/145829067,"Venta Casa, Bosques de Tonalá, Tonalá.","ventaMN 1,800,000","Andador Laurel 235,  Bosques de Tonala, Tonalá",120²,182²,1,,1,4,22
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-loma-dorada/casa-en-venta-en-loma-dorada-secc-a/145421506,Casa en Venta en Loma Dorada Secc. a,"ventaMN 2,500,000","Casa EN Venta EN Loma Dorada,  Fraccionamiento Loma Dorada , Tonalá",136²,200²,2,1,2,3,20
https://www.vivanuncios.com.mx/a-venta-casa/jalisco/casa-para-remodelar-en-venta-en-colonia-jalisco-tonala/145725135,"Casa Para Remodelar en Venta en Colonia Jalisco, Tonalá","ventaMN 1,100,000","Tepatitlan 173,  Jalisco, Tonalá",130²,110²,1,,,3,30
https://www.vivanuncios.com.mx/a-venta-casa/coyula/casa-en-venta-en-jardines-de-la-reina-tonala/146777700,"Casa en Venta en Jardines de La Reina, Tonalá","ventaMN 1,200,000","Callejón de la Ladera 43,  Coyula, Tonalá",60²,60²,1,1,1,2,8
https://www.vivanuncios.com.mx/a-venta-casa/rinconada-de-coyula/casa-en-venta-en-rinconada-de-coyula/145624424,Casa en Venta en Rinconada de Coyula,"ventaMN 13,200,000","-,  Rinconada de Coyula, Tonalá",94²,94²,1,1,1,1,13
https://www.vivanuncios.com.mx/a-venta-casa/arroyo/hacienda-real-tonala-casa-en-venta/146983032,Hacienda Real Tonala Casa en Venta,"ventaMN 1,150,000","Calle San Francisco 1004,  Arroyo, Tonalá",71²,57²,2,,1,3,9
https://www.vivanuncios.com.mx/a-venta-casa/loma-dorada-delegacion-a/casa-en-venta-3-recamaras-loma-dorada-tonala/146844118,Casa en Venta 3 Recamaras Loma Dorada Tonala,"ventaMN 2,550,000","parques de las lomas,  Loma Dorada Delegación a, Tonalá",95²,150²,3,1,2,3,
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-urbi-quinta/hermosa-casa-2pl-con-alberca-asadero-y-jardines-urbivilla-urbiquinta-tonala/146558861,"Hermosa Casa 2pl con Alberca, Asadero y Jardines. Urbivilla Urbiquinta Tonala","ventaMN 2,552,000","AV CAMINO DE MOZARABE 1443,  Fraccionamiento Urbi Quinta, Tonalá",167²,113²,2,,3,2,14
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-real-patria/casa-en-venta-en-real-patria/146653398,Casa en Venta en Real Patria,"ventaMN 4,000,000","av patria,  Fraccionamiento Real Patria, Tonalá",148²,105²,2,1,2,3,1
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-20-de-noviembre/venta-casa-colonia-20-noviembre-tonala/146332567,Venta Casa Colonia 20 Noviembre Tonalá,"ventaMN 2,000,000","JUAN ESCUTIA 321,  Fraccionamiento 20 de Noviembre , Tonalá",126²,156²,2,,1,4,32
https://www.vivanuncios.com.mx/a-venta-casa/loma-dorada-delegacion-a/coto-ahuisculco-loma-dorada-casas-2-3-4-recamaras-c-u-con-bano/145596559,"Coto Ahuisculco, Loma Dorada, Casas 2,3,4 Recamaras c/u con Baño!","ventaMN 2,390,000","av rio nilo ,  Loma Dorada Delegación a, Tonalá",80²,140²,3,1,,,
https://www.vivanuncios.com.mx/a-venta-casa/potrero-de-jauja/casa-nueva-3-niveles-6x17-zona-hipodromo-tonala-entre-carretera-zapotlanejo-nuevo-periferico-$3-600/146078633,"Casa Nueva 3 Niveles 6x17, Zona Hipódromo Tonalá Entre Carretera Zapotlanejo Nuevo Periferico $3,600","ventaMN 3,600,000","Alameda 90,  Potrero de Jauja, Tonalá",102²,273²,3,1,2,4,2
https://www.vivanuncios.com.mx/a-venta-casa/loma-dorada-delegacion-a/casa-nueva-en-venta-4-recamaras-loma-dorada-tonala/146844014,Casa Nueva en Venta 4 Recamaras Loma Dorada Tonala,"ventaMN 2,670,000","parque las lomas,  Loma Dorada Delegación a, Tonalá",,140²,3,,2,4,
https://www.vivanuncios.com.mx/a-venta-casa/el-moral/casa-venta-fracc-el-moral-en-tonala/146877193,"Casa Venta, Fracc. El Moral, en Tonala","ventaMN 1,850,000","Caracas poniente 14,  El Moral, Tonalá",1²,80²,2,,2,2,10
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-loma-dorada/se-vende-casa-en-loma-dorada-tonala/144089624,"Se Vende Casa en Loma Dorada, Tonalá","ventaMN 1,645,000","Loma Arenal Norte,  Fraccionamiento Loma Dorada , Tonalá",70²,75²,1,1,1,2,22
https://www.vivanuncios.com.mx/a-venta-casa/hacienda-del-real/hacienda-real-tonala/145614624,Hacienda Real Tonalá,"ventaMN 1,850,000","Arroyo de en Medio ,  Hacienda Del Real, Tonalá",145²,68²,3,,1,3,15
https://www.vivanuncios.com.mx/a-venta-casa/loma-dorada-delegacion-a/casa-en-venta-col-loma-dorada-tonala-jalisco/144416170,"Casa en Venta, Col. Loma Dorada, Tonala, Jalisco.","ventaMN 1,800,000","loma arenal 329,  Loma Dorada Delegación a, Tonalá",70²,87²,1,1,1,2,16
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-pedregal-de-santa-marta/tonala-vistas-del-pedregal-casa-de-descanso-con-alberca/146138023,"Tonalá, Vistas del Pedregal. Casa de Descanso con Alberca","ventaMN 6,480,000","Vistas del Pedregal, Tonalá,  Fraccionamiento Pedregal de Santa Marta, Tonalá",907²,304²,2,,3,2,7
https://www.vivanuncios.com.mx/a-venta-casa/loma-dorada-delegacion-a/casa-en-venta-en-loma-dorada-loma-arandas-199/147099910,Casa en Venta en Loma Dorada - Loma Arandas 199,"ventaMN 2,600,000","Loma Arandas 199,  Loma Dorada Delegación a, Tonalá",109²,122²,1,,2,2,35
https://www.vivanuncios.com.mx/a-venta-casa/hacienda-del-real/casa-nueva-en-venta-dentro-de-coto-en-hacienda-real-tonala/145893616,"Casa Nueva en Venta Dentro de Coto en Hacienda Real, Tonala","ventaMN 2,850,000","Hacienda de la Acacia,  Hacienda Del Real, Tonalá",90²,180²,2,1,2,3,
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-privadas-de-la-reyna/casa-en-venta-en-reyna-de-escocia-colonia-privadas-de-la-reyna-tonala/146921013,"Casa en Venta en Reyna de Escocia, Colonia Privadas de La Reyna, Tonala","ventaMN 3,080,000","Circuito Reyna de Escocia Norte,  Fraccionamiento Privadas de la Reyna, Tonalá",105²,280²,2,2,1,3,20
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-loma-dorada/casa-en-venta-en-loma-dorada-secc-a/145421503,Casa en Venta en Loma Dorada Secc. a,"ventaMN 2,500,000","Casa EN Venta EN Loma Dorada,  Fraccionamiento Loma Dorada , Tonalá",136²,200²,2,1,2,3,20
https://www.vivanuncios.com.mx/a-venta-casa/lomas-del-manantial/casa-en-venta-lomas-de-manantial-tonala/146846806,"Casa en Venta Lomas de Manantial, Tonala","ventaMN 3,200,000","Loma Blanca ,  Lomas Del Manantial, Tonalá",132²,240²,2,,2,3,25
https://www.vivanuncios.com.mx/a-venta-casa/pedregal/casa-en-venta-en-fraccionamiento-vistas-del-rey-tonala-jal/146097864,"Casa en Venta en Fraccionamiento Vistas del Rey, Tonalá Jal.","ventaMN 1,950,000","Fracc. Vistas del Rey,  Pedregal, Tonalá",90²,110²,2,1,2,3,8
https://www.vivanuncios.com.mx/a-venta-casa/santa-paula/casa-en-venta-con-locales-comerciales-en-sta-paula-tonala-jalisco/144985823,"Casa en Venta con Locales Comerciales, en Sta. Paula, Tonalá, Jalisco.","ventaMN 3,290,000","Carretera Libre a Zapotlanejo 122,  Santa Paula, Tonalá",200²,164²,2,1,1,2,16
https://www.vivanuncios.com.mx/a-venta-casa/loma-dorada-ejidal/casas-en-tonala/145657079,Casas en Tonalá,"ventaMN 2,037,000","Circuito Loma Dorada Norte y Circuito Loma Dorada, Loma Dorada, 45402 Tonalá,  Loma Dorada Ejidal, Tonalá",82²,80²,2,1,2,2,
https://www.vivanuncios.com.mx/a-venta-casa/jalisco/casa-en-venta-en-col-jalisco-antes-de-pasar-periferico-tonala/146163928,"Casa en Venta en Col. Jalisco, Antes de Pasar Periferico, Tonala","ventaMN 1,700,000","calle totatiche 2,  Jalisco, Tonalá",140²,132²,2,,,4,25
https://www.vivanuncios.com.mx/a-venta-casa/tonala/casa-en-venta/144565208,Casa en Venta,"ventaMN 600,000","PALMA NORTE 110,  Tonalá, Jalisco",60²,50²,1,,1,2,
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-fuentes-del-nilo/casa-en-venta-en-fuentes-del-nilo-$1-825-000/145165537,"Casa en Venta en Fuentes del Nilo $1’825,000","ventaMN 1,825,000","Calle Fuente Keops 45,  Fraccionamiento Fuentes Del Nilo, Tonalá",82²,71²,1,1,1,2,18
https://www.vivanuncios.com.mx/a-venta-casa/jalisco/venta-de-casa-colonia-jalisco-ii-tonala-jalisco/142645273,"Venta de Casa Colonia Jalisco II Tonalá, Jalisco","ventaMN 3,600,000","Calle Amacueca 58 , Jalisco, Tonalá,  Jalisco, Tonalá",960²,300²,,4,6,2,20
https://www.vivanuncios.com.mx/a-venta-casa/los-camichines/-oportunidad-unica-casa-en-venta-en-camichines-tonala/146848362,"¡Oportunidad Única! Casa en Venta en Camichines, Tonalá","ventaMN 1,500,000","camichines 2, Calle Amaranto 413,  Los Camichines, Tonalá",97²,97²,2,,1,2,25
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-arcos-de-zalatitan/casa-en-venta-en-tonala-jalisco-zalatitan-el-rosario-ii/146753093,"Casa en Venta en Tonala, Jalisco (Zalatitán, El Rosario Ii)","ventaMN 1,550,000","Loma Bonita 235,  Fraccionamiento Arcos de Zalatitan, Tonalá",74²,105²,2,1,,3,10
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-puente-viejo/casa-en-venta-en-puente-viejo-tonala-carretera-libre-a-zapotlanejo/146016588,Casa en Venta en Puente Viejo Tonalá Carretera Libre a Zapotlanejo,"ventaMN 1,249,000","Privada del Llano Norte 128,  Fraccionamiento Puente Viejo, Tonalá",92²,138²,2,2,1,3,12
