url,titulo,precio,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad,direccion
https://www.vivanuncios.com.mx/a-venta-casa/colinas-de-san-javier/casa-en-venta-colinas-de-san-javier-paseo-torreon/143630312,"Casa en Venta Colinas de San Javier, Paseo Torreon","ventaMN 94,000,000",2729²,2729²,8,,10,6,7,"Paseo DE Torreon 1824,  Colinas de San Javier, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-venta-fracc-carrara-zapopan/146889909,Casa Venta Fracc Carrara Zapopan,"ventaMN 4,450,000",115²,172²,3,1,2,4,,"Tomás Balcázar  1426  , Valle Imperial , 45134 Zapopan, Jalisco, México,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/la-estancia/casa-en-venta-en-la-estancia-zapopan-4-recamaras-2-en-planta-baja-terraza/146635461,"Casa en Venta en La Estancia, Zapopan | 4 Recámaras, 2 en Planta Baja + Terraza","ventaMN 6,100,000",200²,200²,3,1,2,4,40,"Frederick Chopin,  La Estancia, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/jardines-universidad/casa-en-venta-en-bosque-de-los-lagos/146298016,Casa en Venta en Bosque de Los Lagos,"ventaMN 37,900,000",757²,559²,5,2,4,5,10,"Av. Juan Palomar y Arias 1180,  Jardines Universidad, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/puerta-de-hierro/casa-en-venta-puerta-de-hierro-pontevedra-andares-zapopan-jalisco/146548565,"Casa en Venta Puerta de Hierro, Pontevedra, Andares, Zapopan, Jalisco","ventaMN 30,000,000",675²,725²,4,1,4,4,20,"AV ACUEDUCTO 5151,  Puerta de Hierro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-venta-en-capital-norte-guadalajara-roof-garden-y-amenidades/145741883,Casa en Venta en Capital Norte Guadalajara Roof Garden y Amenidades,"ventaMN 4,550,000",120²,190²,4,,2,4,,"Alva Residencial coto 3,  Zapopan, Jal.,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/royal-country/residencia-en-venta-en-royal-country-zapopan-jalisco/146666591,Residencia en Venta en Royal Country Zapopan Jalisco,"ventaMN 21,500,000",333²,313²,3,1,5,3,35,"La Campiña #33, Royal Country, Zapopan,  Royal Country, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/valle-real/moderna-casa-en-venta-en-la-toscana-valle-real-zapopan/146424785,"Moderna Casa en Venta en La Toscana, Valle Real, Zapopan","ventaMN 21,500,000",405²,457²,4,,10,4,5,"Av. Paseo Toscana 111,  Valle Real, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-del-sol/casa-en-venta-en-ciudad-del-sol-tenochtitlan-216/146186860,Casa en Venta en Ciudad del Sol - Tenochtitlán 216,"ventaMN 15,400,000",377²,360²,3,4,4,4,7,"Tenochtitlán 216,  Ciudad Del Sol, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/casa-nueva-en-venta-solares-soare-ii-zona-real-zapopan/146375851,Casa Nueva en Venta Solares Soare II Zona Real Zapopan,"ventaMN 8,695,000",152²,220²,4,1,3,4,,"SOARE II,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/loma-chica/casa-mirador-de-tesistan/146673660,Casa Mirador de Tesistán,"ventaMN 949,000",90²,52²,1,,1,2,,"Privada de las Joyas 55,  Loma Chica, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/villa-magna/casa-en-venta-villa-magna-zapopan/145631751,"Casa en Venta Villa Magna, Zapopan","ventaMN 40,000,000",969²,623²,5,,4,3,25,"Av. Las Palmas #100,  Villa Magna, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/san-isidro/casa-en-venta-san-isidro-200-m-sup2--terreno/146589044,Casa en Venta San Isidro 200 m² Terreno,"ventaMN 4,295,000",200²,129²,2,1,3,3,,"camino de los parques ,  San Isidro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/bosques-vallarta/casa-en-venta-bosques-vallarta-zapopan/144765039,Casa en Venta Bosques Vallarta Zapopan,"ventaMN 6,590,000",165²,222²,4,1,2,3,,"Casa en Bosques Vallarta,  Bosques Vallarta, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-venta-valle-imperial-zapopan-jalisco/146946783,"Casa en Venta Valle Imperial, Zapopan Jalisco","ventaMN 4,700,000",115²,180²,4,,2,3,,"Av. F 5250,  Fraccionamiento Valle Imperial, Zapopan"
