url,titulo,precio,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad,direccion
https://www.vivanuncios.com.mx/a-venta-casa/zoquipan/casa-de-un-nivel-colonia-centrica-plaza-patria-escuelas-hospitales/146396993,"Casa de un Nivel Colonia Centrica, Plaza Patria, Escuelas, Hospitales","ventaMN 3,200,000",96²,68²,1,,1,2,30,"Beatriz Hernández 1190,  Zoquipan, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-venta-en-valle-imperial-zapopan-jalisco/147014948,"Casa en Venta en Valle Imperial, Zapopan, Jalisco *","ventaMN 2,550,000",,,1,,2,3,,"895, Paseos del alva,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/paseos-del-briceno/lomas-del-briseno-casa-en-venta-grande-bien-iluminada-y-buen-ventilada/146737399,Lomas del Briseño Casa en Venta Grande Bien Iluminada y Buen Ventilada,"ventaMN 35,000,000",182²,320²,3,,5,3,1,"Paseo de La Familia 67 Paseis del Briseño,  Paseos Del Briceño, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/valle-imperial-coto-maya/146146562,Valle Imperial - Coto Maya,"ventaMN 4,100,000",160²,169²,3,,2,4,,"Imperio Maya-valle Imperial,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/el-bajio/casa-en-bajio-habitat/146999907,Casa en Bajio Habitat,"ventaMN 12,350,000",240²,330²,4,,3,4,,"Bajio Habitat,  El Bajío, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/casa-en-venta-en-soare-ii-solares-zapopan-jalisco/147014681,"Casa en Venta en Soare II, Solares, Zapopan, jalisco","ventaMN 9,800,000",,,3,,2,3,,"993 Paseo del anochecer,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/casa-en-preventa-por-mariano-otero-zapopan-jalisco/147014905,"Casa en Preventa por Mariano Otero, Zapopan Jalisco.","ventaMN 3,780,000",84²,120²,2,,2,2,,"BARLOVENTO RESIDENCIAL,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-bugambilias/casa-en-venta-bugambilias/144617712,Casa en Venta Bugambilias,"ventaMN 19,500,000",1050²,1050²,3,2,2,3,10,"Vistas del sol,  Fraccionamiento Bugambilias, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-valle-imperial/146855246,Casa en Valle Imperial,"ventaMN 8,300,000",160²,260²,4,1,2,4,,"Valle Imperial,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-puerta-las-lomas/casa-en-puerta-las-lomas/144434867,Casa en Puerta Las Lomas,"ventaMN 30,500,000",390²,390²,5,2,9,4,,"Puerta las Lomas,  Fraccionamiento Puerta Las Lomas, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-residencial-amaranto/casa-en-venta/144676189,Casa en Venta,"ventaMN 2,523,000",123²,99²,2,1,2,3,5,"Casa EN Venta EN Fracc. Somos, Zapopan, Jalisco,  Fraccionamiento Residencial Amaranto, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-venta-en-valle-imperial-zapopan-jalisco/147014091,"Casa en Venta en Valle Imperial, Zapopan Jalisco.","ventaMN 9,300,000",239²,297²,4,,3,4,,"92 pardo,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-del-sol/casa-en-ciudad-del-sol-en-venta/144617543,Casa en Ciudad del Sol en Venta,"ventaMN 13,100,000",480²,480²,5,1,3,4,20,"Prado DE LOS Cedros,  Ciudad Del Sol, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/la-higuera/casa-en-venta-la-higuera-zapopan-jalisco/147060809,Casa en Venta La Higuera Zapopan Jalisco,"ventaMN 1,150,000",95²,85²,1,,1,2,5,"la Higuera Zapopan al 100,  La Higuera, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/los-pinos-campestre/venta-de-casa-campestre-los-pinos-coto-de-tres-casas-pegado-a-bugambilias/147014609,"Venta de Casa Campestre Los Pinos, Coto de Tres Casas Pegado a Bugambilias.","ventaMN 7,843,000",238²,274²,3,,2,4,,"7302 privada lorenzo barcelata,  Los Pinos Campestre, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/puerta-de-hierro/casa-en-venta-en-puerta-de-hierro/144617780,Casa en Venta en Puerta de Hierro,"ventaMN 45,000,000",646²,646²,4,1,6,4,,"Puerta de Hierro,  Puerta de Hierro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-bugambilias/residencia-amplia-y-bonita/144617814,Residencia Amplia y Bonita,"ventaMN 13,000,000",613²,613²,6,,3,4,,"Circuito de las Flores Norte,  Fraccionamiento Bugambilias, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-residencial-san-isidro/casa-en-venta-en-residencial-san-isidro-zapopan-jalisco/147014176,"Casa en Venta en Residencial San Isidro, Zapopan, jalisco","ventaMN 3,850,000",108²,147²,2,,2,3,,"222 AV. PASEO DE LA CASTILLA,  Fraccionamiento Residencial San Isidro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardin-real/hermosa-residencia-de-oportunidad-en-jardin-real/147062800,Hermosa Residencia de Oportunidad en Jardín Real,"ventaMN 8,800,000",300²,300²,3,1,3,3,17,"Duque ,  Fraccionamiento Jardín Real, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/casa-en-capital-norte/145881560,Casa en Capital Norte,"ventaMN 4,299,000",115²,197²,3,1,2,3,,"Capital Norte,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-mirador-del-bosque/casa-en-privada-fiori/145897067,Casa en Privada Fiori,"ventaMN 1,178,000",72²,63²,1,1,1,2,,"Casa Dalia,  Fraccionamiento Mirador del Bosque, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/bosques-vallarta/casa-en-venta/144265805,Casa en Venta,"ventaMN 10,000,000",212²,282²,4,,2,2,,"Casa EN Venta EN Parques Vallarta, Acacia, Zapopan, Jalisco,  Bosques Vallarta, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/casa-en-venta-soare/145281151,Casa en Venta Soare,"ventaMN 8,695,000",148²,215²,4,1,2,4,,"Avenida Paseo del Anochecer,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/altavista-residencial/vitana-residencial-hermosa-casa-en-venta/146981273,"Vitana Residencial, Hermosa Casa en Venta","ventaMN 5,450,000",107²,195²,4,,2,4,,"Vitana Residencial,  Altavista Residencial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardin-real/casa-en-venta-en-armonia-habitat-jardin-real-zapopan-jal/147014851,"Casa en Venta en Armonia Habitat. Jardin Real, Zapopan Jal.","ventaMN 4,160,000",97²,150²,2,,2,3,,"6170 Base Area,  Fraccionamiento Jardín Real, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/venta-de-casa-dentro-de-coto-parques-vallarta-zapopan/147014824,"Venta de Casa Dentro de Coto, Parques Vallarta, Zapopan","ventaMN 7,300,000",163²,230²,4,,3,4,,"2055 Av paseo del parque,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/casa-en-venta/143931987,Casa en Venta,"ventaMN 12,500,000",304²,331²,2,2,4,5,50,"Casa EN Venta EN Col. Providencia, Guadalajara, Jalisco,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/casa-en-solares/146855245,Casa en Solares,"ventaMN 7,200,000",146²,210²,2,1,2,3,,"Solares,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/loma-bonita/casa-loma-bonita/146627696,Casa Loma Bonita,"ventaMN 6,500,000",1²,1²,3,1,2,3,,"Calle Mojarra 3917,  Loma Bonita, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-bugambilia/increible-casa-con-vista-panoramica-zapopan-jalisco-cd-bugambilias/146908138,Increíble Casa con Vista Panorámica / Zapopan Jalisco / Cd. Bugambilias,"ventaMN 12,100,000",313²,334²,4,,4,4,12,"Av Lomas de Bugambilias,  Ciudad Bugambilia, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/residencial-del-bosque/amplia-residencia-remodelada-en-venta/146913122,Amplia Residencia Remodelada en Venta,"ventaMN 14,899,000",290²,490²,4,2,4,4,,"Calle Esmeralda 2940,  Residencial Del Bosque, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/rancho-nuevo-de-tesistan/edificio-en-venta-en-col-rancho-nuevo-guadalajara/147035400,"Edificio en Venta en Col. Rancho Nuevo, Guadalajara","ventaMN 4,090,000",325²,325²,6,2,1,6,,"Juan B. Bandeja al 4300,  Rancho Nuevo de Tesistán, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/nuevo-mexico/casa-en-rinconadas-de-zapopan/146958515,Casa en Rinconadas de Zapopan,"ventaMN 2,190,000",85²,74²,1,1,1,2,15,"Calle Rinconada de los Naranjos ,  Nuevo México, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/casa-en-venta-en-capital-norte/146921262,Casa en Venta en Capital Norte,"ventaMN 4,400,000",196²,196²,3,,2,4,,"Capital Norte,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-valle-imperial-super-equipada-y-moderna/143898383,Casa Valle Imperial Super Equipada y Moderna,"ventaMN 9,800,000",160²,327²,4,1,3,3,3,"Bv. Valle Imperial,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/puerta-de-hierro/casa-en-puerta-de-hierro/144617718,Casa en Puerta de Hierro,"ventaMN 20,500,000",470²,470²,3,1,2,3,15,"Puerto de Hierro,  Puerta de Hierro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/rio-blanco/casa-en-venta-nueva-argenta/144617760,Casa en Venta Nueva - Argenta,"ventaMN 6,995,000",170²,170²,3,1,2,4,,"av rio Blanco 1900,  Rio Blanco, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/el-centinela/hermosa-y-acogedora-casa-en-venta-en-zoi-canadas/143298334,Hermosa y Acogedora Casa en Venta en Zoí Cañadas.,"ventaMN 3,850,000",80²,140²,3,1,2,3,4,"Avenida Paseo de las Aves 2442-interior 141,  El Centinela, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/lomas-del-batan/se-vende-casa-a-precio-de-terreno-en-colonia-el-batan/146735267,Se Vende Casa a Precio de Terreno en Colonia El Batan,"ventaMN 2,890,000",300²,200²,1,,,1,35,"Calle Morelos 393,  Lomas Del Batan, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/puerta-de-hierro/venta-de-casa-en-puerta-de-hierro-residencial/144617546,Venta de Casa en Puerta de Hierro Residencial,"ventaMN 47,000,000",1100²,1100²,5,3,9,4,20,"Blvrd Puerta de Hierro,  Puerta de Hierro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/el-fortin/venta-de-casa-en-los-robles-zapopan/147039953,Venta de Casa en Los Robles Zapopan,"ventaMN 7,700,000",258²,320²,4,2,3,5,7,"AV. Paseo DE LOS Robles,  El Fortín, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/colli-ctm/hermosas-casas-en-el-mismo-terreno-oportunidad-para-inversionistas/146830635,Hermosas Casas en El Mismo Terreno Oportunidad Para Inversionistas,"ventaMN 10,900,000",689²,464²,5,1,4,8,20,"Calle Volcán Cofre de Perote 117,  Colli C.T.M., Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/colinas-de-san-javier/casa-en-venta/147088313,Casa en Venta,"ventaMN 28,125,000",1250²,1250²,,,,,,"Terreno EN Venta EN Colinas DE SAN Javier, Zapopan, Jalisco,  Colinas de San Javier, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/villa-universitaria/casa-nueva-en-venta-villa-universitaria-zapopan/144720119,"Casa Nueva en Venta Villa Universitaria, Zapopan","ventaMN 20,283,320",322²,314²,3,1,4,3,,"Paseo de los Parques,  Villa Universitaria, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/las-canadas/casa-en-las-canadas/146540332,Casa en Las Cañadas,"ventaMN 4,700,000",200²,158²,2,1,2,3,,"Camino de los Parques 3880,  Las Cañadas, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/casa-en-venta-en-solares-zapopan-jalisco/147014173,"Casa en Venta en Solares, Zapopan, Jalisco","ventaMN 9,990,000",212²,282²,4,,2,3,,"2055 Paseo del parque,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/arenales-tapatios/casa-en-arenales-tapatios/146606402,Casa en Arenales Tapatíos,"ventaMN 4,899,000",200²,395²,9,,,9,25,"Platino  al 2500,  Arenales Tapatíos, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-residencial-amaranto/casa-en-condominio-en-5-valles/145897092,Casa en Condominio en 5 Valles,"ventaMN 2,645,000",83²,130²,3,1,2,3,,"Casa Pradera,  Fraccionamiento Residencial Amaranto, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-mirador-del-bosque/casa-de-2-recamaras-patio-y-cochera/147015073,"Casa de 2 Recámaras, Patio y Cochera","ventaMN 1,247,000",72²,63²,1,,1,2,,"8.5 Carr a Colotlán,  Fraccionamiento Mirador del Bosque, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/las-canadas/casa-en-venta-en-las-canadas-en-zapopan/144455111,Casa en Venta en Las Cañadas en Zapopan,"ventaMN 4,380,000",200²,200²,2,1,3,3,,"Camino de los Parques 3880, Colinas de San Isidro, Zapopan, Jalisco,  Las Cañadas, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/hermosa-casa-en-valle-imperial/146779812,Hermosa Casa en Valle Imperial!,"ventaMN 4,800,000",160²,240²,2,2,2,3,,"Valle Imperial,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/-hogar-en-los-robles-zapopan/147014284,"""Hogar en Los Robles, Zapopan""","ventaMN 8,780,000",282²,266²,3,,4,3,,"314 Av Paseo de los Robles Norte,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-bugambilia/casa-en-venta-bugambilias-primera-seccion-circuito-de-las-flores-poniente/146859566,Casa en Venta Bugambilias Primera Sección Circuito de Las Flores Poniente,"ventaMN 14,734,000",700²,680²,4,2,4,4,,"Bugambilias Circuito de las Flores Poniente,  Ciudad Bugambilia, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/hermosa-casa-en-venta-en-solares/146843735,Hermosa Casa en Venta en Solares,"ventaMN 7,920,000",133²,182²,,,,,,"Solares - Privanza Terma,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/el-bajio/el-bajio-habitat-residencia-de-oportunidad-en-esquina-cerca-del-bos/146678348,"El Bajío Hábitat, Residencia de Oportunidad, en Esquina, Cerca del Bos","ventaMN 12,350,000",330²,330²,5,,3,4,3,"Camino Arenero 1052,  El Bajío, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/casa-en-venta-en-barlovento-residencial-zapopan-jal/147014296,"Casa en Venta en Barlovento Residencial, Zapopan Jal.","ventaMN 4,320,000",84²,131²,3,,2,3,,"2400 prolongacion guardia nacional,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-bugambilias/residencia-amplia-y-bonita/144617812,Residencia Amplia y Bonita,"ventaMN 13,000,000",613²,613²,6,,3,4,,"Circuito de las Flores Norte,  Fraccionamiento Bugambilias, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/puerta-de-hierro/casa-puerta-de-hierro/146060417,Casa - Puerta de Hierro,"ventaMN 63,000,000",1400²,900²,4,4,8,4,,"Puerta de Hierro, Zapopan.,  Puerta de Hierro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-granja/casa-sobre-av-colonia-el-fortin/146380951,Casa Sobre Av Colonia El Fortin,"ventaMN 3,300,000",104²,135²,2,1,2,3,,"Calle Zafiro 2,  Ciudad Granja, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-venta-en-capital-norte/144768124,Casa en Venta en Capital Norte,"ventaMN 5,550,000",165²,217²,4,1,2,4,,"Casa en Venta en Capital Norte,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/la-moraleja/casa-en-venta-la-moraleja-coto-madrid/146777007,Casa en Venta La Moraleja Coto Madrid,"ventaMN 1,680,000",70²,79²,2,,,3,6,"La moraleja,  La Moraleja, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/puerta-de-hierro/residencia-en-venta-en-puerta-de-hierro/144617648,Residencia en Venta en Puerta de Hierro,"ventaMN 35,900,000",800²,800²,5,,4,3,5,"Puerta DE Hierro,  Puerta de Hierro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-bugambilias/casa-en-nueva-en-residecial-puerta-azaleas-en-zapopan-jalisco/145463975,Casa en Nueva en Residecial Puerta Azaleas en Zapopan Jalisco,"ventaMN 12,500,000",250²,310²,4,1,2,4,,"Calle Azaleas 573 int 113 Ciudad Bugambilias Zapopan,  Fraccionamiento Bugambilias, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/mesa-de-los-ocotes/casa-en-venta/146115224,Casa en Venta,"ventaMN 6,990,000",130²,201²,4,1,3,3,,"Casa en Venta Fracc. Solares, Av Paseo de los Eucalipto, Zapopan,  Mesa de los Ocotes, Zapopan"
